description,amount,category
Bonus Received,5223.33,income
Interest Credit,117.06,income
Home Loan Interest,7286.33,liability
Uber Ride,6787.57,expense
Stock Purchase,9919.8,asset
Salary Credit,2348.74,income
Uber Ride,9127.62,expense
Loan EMI,5474.21,liability
Stock Purchase,9366.29,asset
Salary Credit,2502.38,income
Bonus Received,6291.53,income
Amazon Purchase,5712.85,expense
FD Deposit,1170.1,asset
Mutual Fund Investment,3568.61,asset
Bonus Received,7785.86,income
Stock Purchase,5408.14,asset
Bonus Received,9590.76,income
Gold Investment,8856.84,asset
Loan EMI,5808.58,liability
Bonus Received,8193.53,income
Mutual Fund Investment,487.16,asset
Interest Credit,7829.04,income
Amazon Purchase,4287.03,expense
Amazon Purchase,1085.74,expense
Freelance Payment,8631.48,income
Interest Credit,3070.73,income
Swiggy Order,6012.55,expense
Gold Investment,5793.36,asset
FD Deposit,8978.92,asset
Bonus Received,7164.94,income
Amazon Purchase,2845.31,expense
Gold Investment,4683.74,asset
Amazon Purchase,420.31,expense
Electricity Bill,5174.02,expense
Freelance Payment,4465.81,income
Loan EMI,3800.17,liability
Amazon Purchase,4938.16,expense
Credit Card Bill,4126.07,liability
Home Loan Interest,7462.56,liability
Home Loan Interest,6386.17,liability
Uber Ride,5271.15,expense
Freelance Payment,5181.76,income
Mutual Fund Investment,4634.2,asset
Salary Credit,1257.62,income
Interest Credit,3510.68,income
Electricity Bill,1459.4,expense
Swiggy Order,1200.07,expense
Bonus Received,8889.43,income
Freelance Payment,7086.26,income
FD Deposit,8620.99,asset
Amazon Purchase,4727.82,expense
Bonus Received,2376.87,income
Freelance Payment,2683.18,income
Gold Investment,677.42,asset
Electricity Bill,2752.83,expense
Swiggy Order,7996.07,expense
Gold Investment,2718.03,asset
Credit Card Bill,3026.83,liability
FD Deposit,1646.07,asset
Bonus Received,3528.95,income
Interest Credit,6679.23,income
Electricity Bill,368.77,expense
Gold Investment,2705.24,asset
FD Deposit,3158.4,asset
Salary Credit,7531.25,income
Gold Investment,7860.57,asset
Stock Purchase,1529.81,asset
Swiggy Order,2696.35,expense
Swiggy Order,8095.13,expense
Amazon Purchase,7891.06,expense
Loan EMI,9338.79,liability
Swiggy Order,658.14,expense
Loan EMI,4568.2,liability
Amazon Purchase,3562.47,expense
Stock Purchase,2960.25,asset
Car Loan EMI,4212.91,liability
FD Deposit,222.48,asset
Car Loan EMI,7067.7,liability
Car Loan EMI,8082.16,liability
Mutual Fund Investment,6686.18,asset
Bonus Received,643.4,income
Mutual Fund Investment,4738.42,asset
Electricity Bill,5711.72,expense
Uber Ride,2131.8,expense
Mutual Fund Investment,4070.09,asset
Amazon Purchase,3863.52,expense
Loan EMI,466.27,liability
Loan EMI,4291.21,liability
Gold Investment,5366.72,asset
Electricity Bill,4246.84,expense
FD Deposit,5604.19,asset
Salary Credit,1441.05,income
Loan EMI,4006.43,liability
Interest Credit,8054.84,income
FD Deposit,2657.32,asset
Credit Card Bill,3955.37,liability
Electricity Bill,2790.16,expense
Bonus Received,1432.54,income
Loan EMI,6570.8,liability
Swiggy Order,5418.31,expense
Electricity Bill,4572.59,expense
Gold Investment,9370.45,asset
Credit Card Bill,7160.49,liability
Loan EMI,5154.05,liability
Gold Investment,7258.78,asset
Freelance Payment,1895.21,income
Salary Credit,6536.82,income
Loan EMI,2927.59,liability
Interest Credit,3389.71,income
Stock Purchase,4612.69,asset
Mutual Fund Investment,939.63,asset
Interest Credit,3069.96,income
Interest Credit,6736.99,income
Swiggy Order,4289.74,expense
Loan EMI,3355.58,liability
Credit Card Bill,9133.44,liability
Amazon Purchase,9453.39,expense
Salary Credit,5925.31,income
Mutual Fund Investment,7411.25,asset
Freelance Payment,5921.82,income
Freelance Payment,175.14,income
Stock Purchase,5498.67,asset
Salary Credit,5516.8,income
Swiggy Order,5568.07,expense
Amazon Purchase,358.99,expense
Amazon Purchase,3648.59,expense
FD Deposit,532.63,asset
Amazon Purchase,6174.82,expense
Stock Purchase,1790.39,asset
Freelance Payment,122.7,income
Stock Purchase,6727.8,asset
Credit Card Bill,5030.27,liability
FD Deposit,681.37,asset
Swiggy Order,5507.49,expense
Gold Investment,3057.76,asset
Amazon Purchase,281.57,expense
Bonus Received,7423.82,income
Home Loan Interest,1104.99,liability
Credit Card Bill,6300.83,liability
Salary Credit,2221.29,income
Bonus Received,5690.28,income
Amazon Purchase,4730.02,expense
Stock Purchase,8375.52,asset
Salary Credit,5198.94,income
Credit Card Bill,1843.04,liability
Uber Ride,6214.06,expense
Swiggy Order,5714.56,expense
Mutual Fund Investment,9564.01,asset
Swiggy Order,2956.13,expense
Loan EMI,2515.17,liability
Salary Credit,7841.25,income
Amazon Purchase,2473.3,expense
Bonus Received,2674.65,income
Mutual Fund Investment,2447.22,asset
Stock Purchase,5492.35,asset
Freelance Payment,2999.36,income
Electricity Bill,4235.94,expense
Uber Ride,9700.24,expense
Freelance Payment,8342.94,income
Interest Credit,7666.01,income
Loan EMI,2265.33,liability
Interest Credit,3559.54,income
Interest Credit,7048.57,income
Car Loan EMI,8806.9,liability
Bonus Received,119.52,income
Bonus Received,1120.67,income
Home Loan Interest,7578.37,liability
Car Loan EMI,7049.08,liability
Stock Purchase,456.32,asset
Bonus Received,7380.06,income
Swiggy Order,2114.49,expense
Amazon Purchase,379.05,expense
Interest Credit,1620.07,income
Freelance Payment,1406.26,income
Salary Credit,9740.19,income
Bonus Received,2536.72,income
Gold Investment,8741.51,asset
Car Loan EMI,8446.18,liability
Interest Credit,5734.46,income
Credit Card Bill,336.07,liability
Gold Investment,6215.91,asset
Credit Card Bill,3296.37,liability
Bonus Received,4068.07,income
Electricity Bill,6844.95,expense
Electricity Bill,983.34,expense
Mutual Fund Investment,9540.8,asset
Uber Ride,3866.4,expense
Gold Investment,1649.47,asset
Credit Card Bill,2731.36,liability
FD Deposit,8545.05,asset
Car Loan EMI,6734.25,liability
Loan EMI,1924.37,liability
Electricity Bill,8645.54,expense
Freelance Payment,6888.23,income
Interest Credit,4806.92,income
Amazon Purchase,5457.11,expense
Car Loan EMI,1028.94,liability
Credit Card Bill,3045.6,liability
Loan EMI,8433.39,liability
Loan EMI,8022.24,liability
Credit Card Bill,7258.54,liability
Uber Ride,3857.79,expense
Uber Ride,9271.84,expense
Credit Card Bill,5086.76,liability
Credit Card Bill,9231.78,liability
Amazon Purchase,4317.75,expense
Freelance Payment,7906.42,income
FD Deposit,4268.51,asset
Mutual Fund Investment,1827.03,asset
Mutual Fund Investment,9838.71,asset
Salary Credit,4090.16,income
Home Loan Interest,5775.76,liability
Mutual Fund Investment,8393.88,asset
Electricity Bill,4135.5,expense
Amazon Purchase,363.29,expense
Uber Ride,9171.29,expense
Salary Credit,9243.87,income
Bonus Received,3071.29,income
Electricity Bill,5589.26,expense
Loan EMI,6621.84,liability
Car Loan EMI,5509.09,liability
Mutual Fund Investment,4895.77,asset
Gold Investment,8946.35,asset
Salary Credit,6016.1,income
Loan EMI,3050.4,liability
Bonus Received,5823.42,income
Credit Card Bill,7157.98,liability
Swiggy Order,1823.71,expense
Salary Credit,6625.7,income
Mutual Fund Investment,4881.29,asset
Uber Ride,4656.87,expense
Car Loan EMI,5592.92,liability
Swiggy Order,5992.73,expense
Freelance Payment,8281.69,income
Mutual Fund Investment,6486.29,asset
FD Deposit,2068.28,asset
Salary Credit,9440.8,income
Amazon Purchase,8397.93,expense
Interest Credit,8541.51,income
Electricity Bill,3661.53,expense
Credit Card Bill,2720.69,liability
Amazon Purchase,1567.34,expense
Car Loan EMI,4660.33,liability
Electricity Bill,5001.48,expense
Interest Credit,4500.84,income
Salary Credit,7750.0,income
Car Loan EMI,5446.21,liability
Credit Card Bill,1953.02,liability
Electricity Bill,7389.79,expense
Interest Credit,6781.09,income
Stock Purchase,7040.98,asset
Swiggy Order,8331.99,expense
Electricity Bill,5245.84,expense
Electricity Bill,7066.7,expense
Interest Credit,7089.81,income
Credit Card Bill,4096.58,liability
Freelance Payment,8971.84,income
Amazon Purchase,6326.87,expense
FD Deposit,1530.44,asset
Salary Credit,3498.69,income
Credit Card Bill,8808.39,liability
Loan EMI,1255.84,liability
Car Loan EMI,1770.25,liability
Gold Investment,8840.48,asset
Amazon Purchase,3913.47,expense
Swiggy Order,5433.49,expense
Swiggy Order,1935.76,expense
FD Deposit,2499.33,asset
Bonus Received,7496.49,income
Swiggy Order,6248.51,expense
Mutual Fund Investment,3031.26,asset
Gold Investment,4566.86,asset
Loan EMI,7367.53,liability
Home Loan Interest,4778.19,liability
Amazon Purchase,556.25,expense
Uber Ride,4062.48,expense
Amazon Purchase,9400.7,expense
Swiggy Order,438.93,expense
Loan EMI,5074.21,liability
Credit Card Bill,3712.58,liability
Loan EMI,7642.17,liability
Gold Investment,2828.5,asset
Electricity Bill,8922.77,expense
Home Loan Interest,8820.76,liability
Loan EMI,1305.55,liability
Salary Credit,3935.21,income
Bonus Received,4900.45,income
Home Loan Interest,9450.95,liability
Credit Card Bill,8003.34,liability
Uber Ride,2298.47,expense
Electricity Bill,485.33,expense
Interest Credit,1546.44,income
Stock Purchase,5351.26,asset
Amazon Purchase,5589.3,expense
Amazon Purchase,5662.38,expense
Credit Card Bill,6283.62,liability
Gold Investment,3828.39,asset
Amazon Purchase,7285.65,expense
Mutual Fund Investment,1954.76,asset
Electricity Bill,8624.53,expense
Salary Credit,719.89,income
Amazon Purchase,9514.61,expense
Electricity Bill,1125.74,expense
FD Deposit,9907.84,asset
Gold Investment,7508.04,asset
Home Loan Interest,6048.85,liability
Freelance Payment,5345.2,income
Gold Investment,6607.63,asset
Interest Credit,9368.53,income
Mutual Fund Investment,9580.24,asset
Home Loan Interest,5982.37,liability
Electricity Bill,4517.09,expense
Bonus Received,7335.27,income
Home Loan Interest,2789.75,liability
Gold Investment,1395.54,asset
Uber Ride,9060.63,expense
Electricity Bill,2801.83,expense
Salary Credit,3584.9,income
Electricity Bill,9306.57,expense
Stock Purchase,1718.78,asset
Amazon Purchase,8115.51,expense
Uber Ride,6995.48,expense
Home Loan Interest,6147.69,liability
Car Loan EMI,879.22,liability
Home Loan Interest,8552.15,liability
Mutual Fund Investment,5091.54,asset
FD Deposit,3309.42,asset
Loan EMI,3258.91,liability
Uber Ride,4569.43,expense
Home Loan Interest,3803.74,liability
Car Loan EMI,4860.62,liability
Interest Credit,4388.09,income
Electricity Bill,2051.61,expense
Home Loan Interest,6143.7,liability
Electricity Bill,5038.0,expense
Gold Investment,826.46,asset
Electricity Bill,8121.82,expense
Bonus Received,6410.8,income
Loan EMI,3522.34,liability
Car Loan EMI,2386.72,liability
Amazon Purchase,4016.79,expense
FD Deposit,2851.99,asset
Freelance Payment,1582.83,income
Loan EMI,5612.19,liability
Swiggy Order,4454.31,expense
Electricity Bill,3971.36,expense
Bonus Received,8955.18,income
Salary Credit,4933.97,income
Amazon Purchase,1471.97,expense
Amazon Purchase,6957.29,expense
Stock Purchase,2163.32,asset
Bonus Received,2798.83,income
Mutual Fund Investment,4180.51,asset
Stock Purchase,6655.43,asset
Mutual Fund Investment,3610.27,asset
FD Deposit,5713.71,asset
Stock Purchase,4816.9,asset
Bonus Received,5228.15,income
Credit Card Bill,2898.68,liability
Gold Investment,5927.54,asset
Car Loan EMI,6601.14,liability
Swiggy Order,5811.58,expense
Loan EMI,5353.77,liability
Electricity Bill,9881.12,expense
Home Loan Interest,6269.66,liability
Swiggy Order,7973.28,expense
Uber Ride,2436.91,expense
Gold Investment,9392.63,asset
Car Loan EMI,8868.23,liability
FD Deposit,2989.43,asset
Swiggy Order,219.05,expense
Gold Investment,4450.75,asset
Amazon Purchase,3066.08,expense
Car Loan EMI,5945.76,liability
Gold Investment,8354.06,asset
Loan EMI,8483.03,liability
Interest Credit,4848.12,income
Gold Investment,5452.66,asset
Home Loan Interest,9457.06,liability
Salary Credit,7185.23,income
Credit Card Bill,4647.21,liability
Interest Credit,457.11,income
Home Loan Interest,2215.13,liability
FD Deposit,3482.97,asset
Home Loan Interest,8120.39,liability
Loan EMI,1106.08,liability
Electricity Bill,3331.09,expense
Amazon Purchase,1845.82,expense
Uber Ride,5541.15,expense
Home Loan Interest,7379.43,liability
FD Deposit,5141.72,asset
Car Loan EMI,1762.43,liability
Amazon Purchase,2684.29,expense
Car Loan EMI,1479.52,liability
Amazon Purchase,6763.24,expense
Electricity Bill,3228.68,expense
Amazon Purchase,2060.96,expense
Gold Investment,6202.95,asset
Car Loan EMI,6448.27,liability
Salary Credit,7924.3,income
FD Deposit,1957.02,asset
Uber Ride,2264.4,expense
Gold Investment,8477.91,asset
Loan EMI,8084.59,liability
Home Loan Interest,1988.7,liability
Electricity Bill,8420.42,expense
Uber Ride,3560.54,expense
Car Loan EMI,6858.97,liability
Freelance Payment,5266.87,income
Car Loan EMI,6560.82,liability
Salary Credit,7067.96,income
Gold Investment,5015.55,asset
Mutual Fund Investment,6455.68,asset
Stock Purchase,7613.44,asset
FD Deposit,280.18,asset
FD Deposit,6556.34,asset
Stock Purchase,4913.94,asset
FD Deposit,1984.54,asset
Credit Card Bill,8647.31,liability
Swiggy Order,8453.85,expense
Salary Credit,8328.71,income
Interest Credit,5716.88,income
FD Deposit,3287.12,asset
Interest Credit,3505.98,income
Salary Credit,237.29,income
Stock Purchase,3894.45,asset
Interest Credit,5141.5,income
Stock Purchase,6774.02,asset
Salary Credit,7001.44,income
Interest Credit,8115.13,income
Gold Investment,5755.85,asset
Uber Ride,5673.17,expense
Credit Card Bill,5107.7,liability
Mutual Fund Investment,132.69,asset
Uber Ride,4686.66,expense
FD Deposit,8848.98,asset
Bonus Received,3703.07,income
Loan EMI,8187.32,liability
Amazon Purchase,3454.07,expense
Car Loan EMI,7258.25,liability
Electricity Bill,1338.25,expense
Swiggy Order,2013.63,expense
Interest Credit,1900.44,income
Uber Ride,9723.39,expense
Car Loan EMI,1884.26,liability
Swiggy Order,8021.0,expense
Freelance Payment,1921.56,income
Loan EMI,6111.85,liability
Bonus Received,2514.57,income
Electricity Bill,9536.43,expense
Uber Ride,6819.97,expense
Freelance Payment,4014.92,income
Home Loan Interest,4708.54,liability
Home Loan Interest,7065.85,liability
Home Loan Interest,9753.63,liability
Swiggy Order,310.76,expense
Interest Credit,6491.44,income
Car Loan EMI,1795.66,liability
Gold Investment,2366.65,asset
Home Loan Interest,8807.19,liability
Electricity Bill,6756.41,expense
Salary Credit,6941.55,income
Interest Credit,6900.86,income
Salary Credit,5073.67,income
Mutual Fund Investment,1856.87,asset
Electricity Bill,336.58,expense
Car Loan EMI,6793.61,liability
Loan EMI,1241.22,liability
Swiggy Order,4189.31,expense
Credit Card Bill,1753.16,liability
Credit Card Bill,5685.13,liability
FD Deposit,3719.58,asset
Amazon Purchase,6560.57,expense
FD Deposit,6630.53,asset
Electricity Bill,8823.11,expense
Uber Ride,3858.81,expense
Swiggy Order,7063.36,expense
Salary Credit,2993.29,income
Electricity Bill,2051.94,expense
Salary Credit,8861.07,income
Credit Card Bill,8311.49,liability
Amazon Purchase,8559.97,expense
Credit Card Bill,6736.76,liability
Salary Credit,5391.25,income
Bonus Received,9760.0,income
Home Loan Interest,5439.54,liability
Salary Credit,3110.85,income
Credit Card Bill,4174.96,liability
Interest Credit,3768.07,income
FD Deposit,6494.57,asset
Bonus Received,6128.5,income
Salary Credit,3647.62,income
Car Loan EMI,8941.6,liability
Credit Card Bill,6741.22,liability
Electricity Bill,6905.09,expense
Electricity Bill,3611.17,expense
Bonus Received,4174.06,income
Bonus Received,1903.1,income
Credit Card Bill,1000.73,liability
FD Deposit,3307.04,asset
Salary Credit,9860.84,income
Loan EMI,113.45,liability
Credit Card Bill,1089.38,liability
Stock Purchase,8668.23,asset
Stock Purchase,896.73,asset
Stock Purchase,8797.32,asset
Gold Investment,7474.79,asset
Uber Ride,4122.98,expense
Mutual Fund Investment,9674.07,asset
Bonus Received,9705.75,income
Bonus Received,8652.3,income
Home Loan Interest,7413.33,liability
Gold Investment,6796.55,asset
Loan EMI,6511.79,liability
Stock Purchase,929.09,asset
Salary Credit,6930.01,income
Bonus Received,1405.08,income
Car Loan EMI,5821.07,liability
Credit Card Bill,3893.18,liability
Car Loan EMI,6627.99,liability
FD Deposit,1749.36,asset
Amazon Purchase,1604.6,expense
Interest Credit,1828.02,income
FD Deposit,9216.76,asset
Swiggy Order,5477.65,expense
Home Loan Interest,9421.13,liability
Amazon Purchase,776.38,expense
Home Loan Interest,9767.07,liability
Amazon Purchase,5448.09,expense
Interest Credit,744.66,income
Car Loan EMI,5852.04,liability
Stock Purchase,2795.82,asset
Stock Purchase,2775.13,asset
Salary Credit,8740.97,income
Uber Ride,3030.96,expense
Electricity Bill,6664.67,expense
Gold Investment,2300.08,asset
Loan EMI,7127.22,liability
Credit Card Bill,617.14,liability
Amazon Purchase,9106.72,expense
Amazon Purchase,7386.12,expense
Amazon Purchase,2149.69,expense
Home Loan Interest,6832.29,liability
Interest Credit,8192.4,income
Freelance Payment,2252.58,income
Uber Ride,6569.31,expense
Bonus Received,2995.19,income
Mutual Fund Investment,2774.87,asset
Stock Purchase,7223.77,asset
Stock Purchase,5395.32,asset
Swiggy Order,5083.12,expense
Interest Credit,6646.2,income
Gold Investment,3376.85,asset
Home Loan Interest,7921.35,liability
Gold Investment,2787.31,asset
Swiggy Order,3472.74,expense
Swiggy Order,5692.29,expense
Gold Investment,1632.92,asset
Mutual Fund Investment,3049.27,asset
Freelance Payment,2025.41,income
Swiggy Order,9163.72,expense
Gold Investment,5129.03,asset
Salary Credit,5129.36,income
Uber Ride,8560.28,expense
Credit Card Bill,7513.29,liability
Electricity Bill,9397.59,expense
Freelance Payment,4385.49,income
Amazon Purchase,1003.41,expense
Salary Credit,9314.32,income
Car Loan EMI,6180.68,liability
Interest Credit,7261.89,income
Loan EMI,3901.07,liability
FD Deposit,9120.72,asset
Home Loan Interest,926.9,liability
Freelance Payment,7319.88,income
Bonus Received,9939.76,income
Loan EMI,2166.21,liability
Home Loan Interest,731.63,liability
Freelance Payment,658.71,income
Home Loan Interest,5032.43,liability
Swiggy Order,6837.39,expense
Uber Ride,2317.82,expense
Uber Ride,5627.8,expense
FD Deposit,1875.55,asset
Loan EMI,2426.74,liability
Amazon Purchase,3998.5,expense
Gold Investment,9789.1,asset
Electricity Bill,3414.0,expense
Gold Investment,2430.82,asset
FD Deposit,248.91,asset
Stock Purchase,754.36,asset
Credit Card Bill,1867.55,liability
Credit Card Bill,6521.47,liability
Bonus Received,8192.15,income
Salary Credit,654.32,income
Credit Card Bill,198.29,liability
Mutual Fund Investment,7520.95,asset
Uber Ride,6756.42,expense
Electricity Bill,7701.12,expense
Uber Ride,1229.68,expense
FD Deposit,8880.58,asset
Electricity Bill,2601.09,expense
Home Loan Interest,1398.61,liability
Swiggy Order,9600.22,expense
Bonus Received,5794.54,income
Loan EMI,9144.65,liability
Stock Purchase,8458.41,asset
Uber Ride,7368.15,expense
Stock Purchase,6263.92,asset
Swiggy Order,3699.52,expense
Credit Card Bill,623.92,liability
Gold Investment,8794.2,asset
FD Deposit,3806.99,asset
Interest Credit,1067.65,income
Mutual Fund Investment,1550.81,asset
Loan EMI,1864.35,liability
Electricity Bill,5026.89,expense
Uber Ride,3030.32,expense
Swiggy Order,1830.6,expense
Credit Card Bill,8429.1,liability
Swiggy Order,6421.18,expense
Gold Investment,8871.53,asset
FD Deposit,7079.49,asset
Salary Credit,6669.03,income
Bonus Received,3350.55,income
Freelance Payment,6838.56,income
Uber Ride,7076.25,expense
FD Deposit,1762.49,asset
Credit Card Bill,1847.14,liability
Electricity Bill,6973.16,expense
Salary Credit,6566.84,income
Bonus Received,1867.32,income
Car Loan EMI,3175.87,liability
Home Loan Interest,4522.48,liability
Loan EMI,7566.4,liability
Bonus Received,1338.87,income
Bonus Received,4727.9,income
Home Loan Interest,8868.59,liability
Credit Card Bill,6325.94,liability
Home Loan Interest,2997.2,liability
Loan EMI,4659.23,liability
Bonus Received,9858.92,income
Gold Investment,3961.87,asset
Uber Ride,8593.15,expense
FD Deposit,8943.11,asset
Mutual Fund Investment,5566.87,asset
Credit Card Bill,9579.26,liability
Electricity Bill,8014.57,expense
Loan EMI,229.13,liability
Freelance Payment,684.08,income
Freelance Payment,9663.92,income
Credit Card Bill,6926.54,liability
Interest Credit,6990.5,income
Swiggy Order,8395.01,expense
Home Loan Interest,5780.06,liability
Car Loan EMI,991.05,liability
Bonus Received,8326.93,income
Amazon Purchase,6056.16,expense
Amazon Purchase,479.32,expense
Electricity Bill,9088.62,expense
Mutual Fund Investment,5450.71,asset
Salary Credit,9896.58,income
Freelance Payment,3427.47,income
FD Deposit,8506.27,asset
Mutual Fund Investment,3797.95,asset
Bonus Received,3743.61,income
Home Loan Interest,9223.12,liability
Freelance Payment,9707.74,income
Home Loan Interest,9628.88,liability
Interest Credit,339.33,income
Uber Ride,8119.41,expense
Stock Purchase,4101.8,asset
Car Loan EMI,9220.62,liability
Interest Credit,4331.67,income
Salary Credit,8141.89,income
Home Loan Interest,5713.55,liability
Swiggy Order,3318.95,expense
Gold Investment,3486.42,asset
Car Loan EMI,3895.69,liability
Loan EMI,272.64,liability
Credit Card Bill,5977.39,liability
Salary Credit,4129.71,income
FD Deposit,8414.66,asset
Uber Ride,2098.58,expense
Interest Credit,6097.56,income
Car Loan EMI,6085.36,liability
Stock Purchase,3652.09,asset
Swiggy Order,6173.32,expense
Salary Credit,4838.1,income
Home Loan Interest,827.43,liability
Swiggy Order,5068.71,expense
Home Loan Interest,8252.03,liability
Credit Card Bill,3676.64,liability
Stock Purchase,2014.71,asset
Credit Card Bill,5675.35,liability
Credit Card Bill,5304.04,liability
Salary Credit,7792.18,income
Swiggy Order,9747.02,expense
Salary Credit,2228.34,income
Gold Investment,2362.87,asset
Freelance Payment,181.47,income
Gold Investment,4289.62,asset
Uber Ride,5513.25,expense
Car Loan EMI,8163.86,liability
FD Deposit,8774.32,asset
Car Loan EMI,8879.7,liability
FD Deposit,124.13,asset
Swiggy Order,5394.21,expense
Salary Credit,2973.68,income
Car Loan EMI,3117.13,liability
Salary Credit,4737.64,income
Swiggy Order,5098.66,expense
Stock Purchase,174.54,asset
Interest Credit,1863.7,income
Mutual Fund Investment,502.0,asset
Credit Card Bill,3071.66,liability
Swiggy Order,3883.95,expense
Gold Investment,1733.93,asset
Home Loan Interest,5608.76,liability
Bonus Received,444.48,income
Stock Purchase,9567.13,asset
Interest Credit,1874.76,income
Credit Card Bill,4737.87,liability
Freelance Payment,1270.07,income
Electricity Bill,9187.49,expense
Credit Card Bill,9282.14,liability
Salary Credit,751.02,income
Credit Card Bill,8515.25,liability
FD Deposit,3137.7,asset
Bonus Received,4798.96,income
Swiggy Order,1171.04,expense
FD Deposit,2611.5,asset
Home Loan Interest,1724.26,liability
FD Deposit,7957.97,asset
FD Deposit,2595.74,asset
Gold Investment,7915.03,asset
Uber Ride,3114.51,expense
Amazon Purchase,5557.15,expense
FD Deposit,9995.3,asset
Credit Card Bill,1204.02,liability
Salary Credit,3731.07,income
Freelance Payment,6892.02,income
Electricity Bill,8747.71,expense
Swiggy Order,2399.84,expense
Interest Credit,8408.44,income
Car Loan EMI,3996.71,liability
Gold Investment,388.57,asset
Stock Purchase,8741.58,asset
Loan EMI,7676.3,liability
Stock Purchase,6506.13,asset
Gold Investment,6423.45,asset
Swiggy Order,2096.68,expense
Car Loan EMI,9760.21,liability
Swiggy Order,2627.57,expense
Bonus Received,9371.1,income
Salary Credit,4194.31,income
Gold Investment,7896.9,asset
Car Loan EMI,7228.36,liability
Swiggy Order,6865.31,expense
Gold Investment,6267.49,asset
FD Deposit,6522.48,asset
Freelance Payment,517.17,income
Credit Card Bill,5391.22,liability
Swiggy Order,7267.14,expense
Swiggy Order,862.65,expense
Car Loan EMI,5699.05,liability
Salary Credit,8969.31,income
Mutual Fund Investment,5438.99,asset
Freelance Payment,2735.71,income
Mutual Fund Investment,9883.69,asset
Loan EMI,7496.56,liability
Freelance Payment,7512.61,income
Car Loan EMI,7069.73,liability
Home Loan Interest,1636.14,liability
Stock Purchase,7234.78,asset
Swiggy Order,5383.16,expense
FD Deposit,7039.01,asset
Car Loan EMI,9067.48,liability
Swiggy Order,6181.78,expense
FD Deposit,8142.92,asset
Bonus Received,4358.9,income
Interest Credit,1574.66,income
Uber Ride,7646.01,expense
Amazon Purchase,4422.45,expense
Interest Credit,9307.37,income
Bonus Received,9535.21,income
Bonus Received,5248.81,income
Uber Ride,5375.72,expense
Salary Credit,1894.09,income
Home Loan Interest,8016.2,liability
Car Loan EMI,432.01,liability
Home Loan Interest,5115.92,liability
Salary Credit,9524.4,income
Amazon Purchase,4700.84,expense
Swiggy Order,2599.17,expense
Loan EMI,9338.35,liability
Credit Card Bill,3275.94,liability
FD Deposit,4431.67,asset
Bonus Received,1957.32,income
Salary Credit,673.59,income
Freelance Payment,3864.31,income
Electricity Bill,5185.68,expense
Stock Purchase,3031.88,asset
Bonus Received,7282.08,income
Stock Purchase,677.21,asset
Amazon Purchase,2547.71,expense
Car Loan EMI,3008.1,liability
Loan EMI,5546.15,liability
FD Deposit,9244.43,asset
Home Loan Interest,3064.85,liability
Amazon Purchase,2792.35,expense
Freelance Payment,2654.94,income
Mutual Fund Investment,4826.11,asset
Bonus Received,6048.25,income
Salary Credit,6090.91,income
Interest Credit,1343.28,income
Gold Investment,4016.81,asset
Stock Purchase,5146.47,asset
FD Deposit,8867.4,asset
Credit Card Bill,4116.62,liability
Bonus Received,6044.38,income
Bonus Received,3856.2,income
Home Loan Interest,373.82,liability
Amazon Purchase,3372.3,expense
Electricity Bill,6929.18,expense
Stock Purchase,8500.47,asset
Home Loan Interest,9662.57,liability
Amazon Purchase,2435.77,expense
Freelance Payment,4827.91,income
Stock Purchase,9504.45,asset
Credit Card Bill,8835.38,liability
Salary Credit,3897.76,income
Mutual Fund Investment,1601.31,asset
Interest Credit,6746.27,income
Swiggy Order,2433.0,expense
Electricity Bill,5848.16,expense
Loan EMI,6287.56,liability
Salary Credit,8169.68,income
Salary Credit,1742.92,income
Uber Ride,8604.13,expense
Electricity Bill,6602.02,expense
Stock Purchase,9572.07,asset
Gold Investment,4893.98,asset
Electricity Bill,244.76,expense
Salary Credit,8543.56,income
Bonus Received,8504.98,income
Home Loan Interest,7194.77,liability
Loan EMI,983.14,liability
Interest Credit,7497.0,income
Bonus Received,2005.22,income
Freelance Payment,3220.13,income
Loan EMI,421.99,liability
Salary Credit,1678.13,income
Uber Ride,4453.9,expense
Mutual Fund Investment,9477.95,asset
Uber Ride,8581.05,expense
Stock Purchase,6396.72,asset
Gold Investment,3661.41,asset
Mutual Fund Investment,7537.77,asset
Salary Credit,952.15,income
FD Deposit,8080.04,asset
Salary Credit,2895.4,income
Car Loan EMI,3031.24,liability
Mutual Fund Investment,3867.14,asset
Salary Credit,7142.78,income
FD Deposit,1419.4,asset
Car Loan EMI,7677.91,liability
Bonus Received,5347.24,income
Gold Investment,5456.04,asset
Home Loan Interest,9075.64,liability
Electricity Bill,238.66,expense
Credit Card Bill,263.91,liability
Gold Investment,8280.39,asset
FD Deposit,6987.63,asset
FD Deposit,8281.21,asset
Credit Card Bill,1344.37,liability
Stock Purchase,3603.81,asset
Stock Purchase,9036.52,asset
Home Loan Interest,6561.1,liability
Stock Purchase,9407.05,asset
Loan EMI,8084.88,liability
Uber Ride,9827.85,expense
Stock Purchase,5156.66,asset
FD Deposit,7689.68,asset
FD Deposit,6164.0,asset
Mutual Fund Investment,1390.71,asset
Car Loan EMI,3011.8,liability
FD Deposit,6287.59,asset
FD Deposit,6902.57,asset
Car Loan EMI,8724.22,liability
Mutual Fund Investment,1104.86,asset
Stock Purchase,7519.25,asset
Bonus Received,7551.88,income
Car Loan EMI,452.28,liability
Bonus Received,1702.5,income
Salary Credit,5019.35,income
