id,description,amount,category
8730,Sales Revenue,28482.0,income
8731,Sales Revenue,17691.32,income
8732,Interest Income,74358.96,income
8733,Accrued Expenses,25281.78,liability
8734,Rent Expense,45471.33,expense
8735,Utility Expense,38647.36,expense
8736,Accounts Payable,98209.53,liability
8737,Service Income,39170.12,income
8738,Loan Payable,8090.25,liability
8739,Salary Expense,9073.59,expense
8740,Loan Payable,59116.3,liability
8741,Cash,59976.42,asset
8742,Accrued Expenses,41934.02,liability
8743,Equipment,43241.18,asset
8744,Utility Expense,5487.87,expense
8745,Rent Expense,51703.0,expense
8746,Service Income,50523.47,income
8747,Accrued Expenses,15039.98,liability
8748,Rent Expense,10473.55,expense
8749,Cash,12444.89,asset
8750,Rent Expense,10192.72,expense
8751,Interest Income,61009.85,income
8752,,19728.62,expense
8753,Accrued Expenses,,liability
8754,Marketing Expense,17439.86,expense
8755,Interest Income,95787.75,income
8756,Equipment,85476.28,asset
8757,Sales Revenue,23126.43,income
8758,Service Income,32823.87,income
8759,Equipment,21068.29,asset
8760,Sales Revenue,49238.41,income
8761,Marketing Expense,2059.09,expense
8762,Sales Revenue,67169.66,income
8763,Service Income,52363.5,income
8764,Utility Expense,89874.03,expense
8765,Service Income,16522.83,income
8766,Service Income,80430.51,income
8767,Utility Expense,79216.91,expense
8768,Tax Payable,invalid,liability
8769,Marketing Expense,39916.07,expense
8770,Salary Expense,17098.25,expense
8771,Rent Expense,25546.58,expense
8772,Sales Revenue,26398.29,income
8773,Service Income,55668.02,income
8774,Equipment,41199.95,asset
8775,Marketing Expense,94778.51,expense
8776,Interest Income,12724.38,income
8777,Marketing Expense,97371.84,expense
8778,Accrued Expenses,23140.8,liability
8779,Sales Revenue,77310.11,income
8780,Cash,33963.1,asset
8781,Sales Revenue,14393.83,income
8782,Service Income,85803.13,income
8783,Rent Expense,30955.2,expense
8784,Marketing Expense,65919.65,expense
8785,Accounts Receivable,56687.72,asset
8786,Cash,47228.46,asset
8787,Loan Payable,49632.37,liability
8788,Sales Revenue,73250.57,income
8789,Tax Payable,8868.51,liability
8790,Utility Expense,66851.25,expense
8791,Accounts Receivable,89591.63,asset
8792,Interest Income,5873.04,income
8793,Sales Revenue,14151.27,income
8794,Prepaid Expense,71691.53,asset
8795,Marketing Expense,43784.44,expense
8796,Accrued Expenses,40414.51,liability
8797,Interest Income,13782.97,income
8798,Marketing Expense,50726.33,expense
8799,Rent Expense,12741.88,expense
8800,Cash,47714.38,asset
8801,Equipment,76385.17,asset
8802,Tax Payable,invalid,liability
8803,Loan Payable,48130.54,liability
8804,Rent Expense,99202.4,expense
8805,Service Income,68696.38,income
8806,Interest Income,84151.54,income
8807,Utility Expense,41543.28,expense
8808,Salary Expense,76809.31,expense
8809,Utility Expense,4146.87,expense
8810,Service Income,12378.83,income
8811,,20386.75,expense
8812,Accounts Receivable,40255.0,asset
8813,Loan Payable,84589.91,liability
8814,Equipment,34691.98,asset
8815,Accounts Receivable,65496.66,asset
8816,Salary Expense,70960.5,expense
8817,Inventory,58659.62,asset
8818,Interest Income,35788.47,income
8819,Equipment,57747.63,asset
8820,Rent Expense,34292.33,expense
8821,Accounts Payable,8478.99,liability
8822,Utility Expense,99281.12,expense
8823,Tax Payable,12805.53,liability
8824,Accounts Payable,7327.6,liability
8825,Sales Revenue,87865.22,income
8826,Rent Expense,30253.28,expense
8827,Equipment,65064.67,asset
8828,Utility Expense,32967.67,expense
8829,Sales Revenue,39206.28,income
8830,Prepaid Expense,26285.09,asset
8831,Marketing Expense,34370.1,expense
8832,Prepaid Expense,,asset
8833,Equipment,72069.57,asset
8834,Prepaid Expense,51202.47,asset
8835,Accrued Expenses,94362.17,liability
8836,Loan Payable,4283.85,liability
8837,Salary Expense,50356.53,expense
8838,Utility Expense,58464.06,expense
8839,Salary Expense,92027.68,expense
8840,Sales Revenue,5010.94,income
8841,Equipment,57392.61,asset
8842,Loan Payable,85377.63,liability
8843,Inventory,24268.58,asset
8844,Loan Payable,87641.61,liability
8845,Tax Payable,2002.44,liability
8846,Service Income,73272.22,income
8847,Salary Expense,93318.01,expense
8848,Rent Expense,65754.05,expense
8849,Salary Expense,43959.02,expense
8850,Service Income,4583.61,income
8851,Service Income,92019.37,income
8852,Utility Expense,47082.59,expense
8853,Equipment,2996.77,asset
8854,Service Income,69013.13,income
8855,Accounts Receivable,48235.54,asset
8856,Marketing Expense,12522.1,expense
8857,Tax Payable,21505.75,liability
8858,Service Income,6542.62,income
8859,Tax Payable,,liability
8860,Accrued Expenses,62240.74,liability
8861,Tax Payable,50623.66,liability
8862,Cash,81728.5,asset
8863,Service Income,86114.78,income
8864,Accrued Expenses,61600.88,liability
8865,Utility Expense,1374.37,expense
8866,Interest Income,69553.44,income
8867,Prepaid Expense,41858.12,asset
8868,Rent Expense,56599.19,expense
8869,Loan Payable,64943.15,liability
8870,Interest Income,35088.64,income
8871,Accounts Receivable,91718.14,asset
8872,Prepaid Expense,13484.09,asset
8873,Utility Expense,67184.03,expense
8874,Service Income,535.52,income
8875,Tax Payable,92472.65,liability
8876,Tax Payable,11339.16,liability
8877,Sales Revenue,9578.93,income
8878,Tax Payable,33367.46,liability
8879,Utility Expense,37419.27,expense
8880,Accounts Receivable,21508.58,asset
8881,Utility Expense,58553.65,expense
8882,Sales Revenue,,income
8883,Accounts Receivable,3514.14,asset
8884,Accounts Receivable,32033.24,asset
8885,Salary Expense,81062.25,expense
8886,Interest Income,69001.18,income
8887,Salary Expense,72514.6,expense
8888,Rent Expense,69841.88,expense
8889,Cash,31166.2,asset
8890,Accrued Expenses,10056.43,liability
8891,Accounts Receivable,27319.47,asset
8892,Accounts Payable,83195.35,liability
8893,Rent Expense,98049.03,expense
8894,Service Income,49435.32,income
8895,Rent Expense,1069.07,expense
8896,Rent Expense,14090.48,expense
8897,Tax Payable,32275.85,liability
8898,Service Income,,income
8899,Rent Expense,7601.86,expense
8900,Utility Expense,94341.39,expense
8901,Prepaid Expense,36571.86,asset
8902,Marketing Expense,91267.16,expense
8903,,78074.13,income
8904,,75568.18,asset
8905,Equipment,60711.29,asset
8906,Accounts Receivable,62715.7,asset
8907,Accounts Payable,63836.52,liability
8908,Marketing Expense,62909.27,expense
8909,Sales Revenue,55417.45,income
8910,Loan Payable,98642.76,liability
8911,Cash,73255.83,asset
8912,Marketing Expense,77716.94,expense
8913,Interest Income,87259.04,income
8914,Salary Expense,21642.41,expense
8915,Loan Payable,8472.04,liability
8916,Accrued Expenses,48341.15,liability
8917,Accounts Payable,51456.66,liability
8918,Tax Payable,82935.26,liability
8919,Cash,44433.98,asset
8920,Equipment,57128.22,asset
8921,Interest Income,52754.39,income
8922,,3916.46,expense
8923,Equipment,61559.97,asset
8924,Accounts Receivable,82821.52,asset
8925,Interest Income,15834.3,income
8926,Accrued Expenses,59473.74,liability
8927,Tax Payable,59401.69,liability
8928,Accrued Expenses,16502.08,liability
8929,Loan Payable,12434.01,liability
8930,Tax Payable,98007.19,liability
8931,Interest Income,39432.55,income
8932,Inventory,22819.43,asset
8933,Sales Revenue,17215.32,income
8934,Service Income,66793.41,income
8935,Equipment,60983.59,asset
8936,Utility Expense,64390.86,expense
8937,Service Income,8891.8,income
8938,Inventory,89364.1,asset
8939,Accounts Payable,38987.71,liability
8940,Rent Expense,31405.6,expense
8941,Salary Expense,46289.91,expense
8942,Marketing Expense,39067.6,expense
8943,Accounts Receivable,86371.34,asset
8944,Prepaid Expense,92933.17,asset
8945,Accounts Payable,30414.98,liability
8946,Service Income,86407.19,income
8947,Rent Expense,78174.16,expense
8948,Equipment,93087.69,asset
8949,Utility Expense,24650.46,expense
8950,Accounts Receivable,57738.22,asset
8951,Marketing Expense,27527.0,expense
8952,Tax Payable,82427.04,liability
8953,Accounts Receivable,631.89,asset
8954,Tax Payable,56525.43,liability
8955,Cash,33986.42,asset
8956,Accounts Payable,32336.1,liability
8957,Equipment,64526.14,asset
8958,Marketing Expense,85163.3,expense
8959,Prepaid Expense,60958.62,asset
8960,Rent Expense,85331.98,expense
8961,Accounts Payable,,liability
8962,Accounts Payable,51998.24,liability
8963,Accounts Receivable,45108.6,asset
8964,Interest Income,1263.33,income
8965,Loan Payable,55725.53,liability
8966,Accrued Expenses,66186.28,liability
8967,Utility Expense,59232.25,expense
8968,Service Income,,income
8969,Utility Expense,57176.82,expense
8970,Interest Income,6768.35,income
8971,Inventory,11732.91,asset
8972,Marketing Expense,59687.81,expense
8973,Accrued Expenses,27570.42,liability
8974,Utility Expense,8056.55,expense
8975,Inventory,43017.31,asset
8976,Service Income,invalid,income
8977,Tax Payable,32941.72,liability
8978,Cash,72071.33,asset
8979,Accounts Receivable,64412.68,asset
8980,Marketing Expense,invalid,expense
8981,Marketing Expense,75511.77,expense
8982,Cash,64904.63,asset
8983,Marketing Expense,63780.79,expense
8984,Cash,55387.43,asset
8985,Accrued Expenses,1237.83,liability
8986,Accounts Receivable,invalid,asset
8987,Marketing Expense,37666.57,expense
8988,Accrued Expenses,94266.71,liability
8989,Sales Revenue,81816.68,income
8990,Sales Revenue,58810.68,income
8991,Utility Expense,25292.98,expense
8992,Loan Payable,20451.37,liability
8993,Accrued Expenses,34104.45,liability
8994,Tax Payable,47709.14,liability
8995,Equipment,29676.94,asset
8996,Rent Expense,51541.46,expense
8997,Service Income,16620.51,income
8998,Accrued Expenses,97773.51,liability
8999,Interest Income,10881.66,income
9000,Rent Expense,93201.22,expense
9001,Accrued Expenses,91366.44,liability
9002,Loan Payable,52583.51,liability
9003,Inventory,72518.54,asset
9004,Interest Income,43661.22,income
9005,Rent Expense,63040.45,expense
9006,Utility Expense,34123.54,expense
9007,Inventory,30185.79,asset
9008,Equipment,57865.16,asset
9009,Marketing Expense,49863.15,expense
9010,Tax Payable,57995.68,liability
9011,Accounts Payable,28737.39,liability
9012,Inventory,36759.09,asset
9013,Accounts Receivable,8481.41,asset
9014,Salary Expense,5322.41,expense
9015,Accrued Expenses,25420.37,liability
9016,Salary Expense,7517.26,expense
9017,Salary Expense,10467.09,expense
9018,Prepaid Expense,81311.55,asset
9019,Equipment,3983.48,asset
9020,Cash,65928.39,asset
9021,Marketing Expense,27328.52,expense
9022,Utility Expense,87167.41,expense
9023,Prepaid Expense,48550.73,asset
9024,Tax Payable,30627.09,liability
9025,Prepaid Expense,51812.13,asset
9026,Sales Revenue,38257.61,income
9027,Rent Expense,56473.68,expense
9028,Equipment,11541.83,asset
9029,Interest Income,99699.35,income
9030,Accounts Receivable,42613.03,asset
9031,Interest Income,,income
9032,Loan Payable,71049.96,liability
9033,Accounts Payable,36453.55,liability
9034,Equipment,83344.1,asset
9035,Sales Revenue,45481.65,income
9036,Loan Payable,71983.89,liability
9037,Rent Expense,invalid,expense
9038,Prepaid Expense,84627.31,asset
9039,Utility Expense,73598.23,expense
9040,Sales Revenue,21250.51,income
9041,Tax Payable,14614.07,liability
9042,Accrued Expenses,invalid,liability
9043,Accounts Payable,97609.45,liability
9044,Loan Payable,25757.47,liability
9045,Sales Revenue,45667.11,income
9046,Rent Expense,3099.02,expense
9047,Tax Payable,39783.03,liability
9048,Tax Payable,57174.87,liability
9049,Accrued Expenses,95317.15,liability
9050,Tax Payable,51721.93,liability
9051,Marketing Expense,81928.82,expense
9052,Service Income,,income
9053,Salary Expense,4174.42,expense
9054,Interest Income,31569.33,income
9055,Inventory,57597.4,asset
9056,Utility Expense,95064.34,expense
9057,Prepaid Expense,85927.12,asset
9058,Sales Revenue,invalid,income
9059,Accounts Payable,22088.97,liability
9060,Rent Expense,20197.18,expense
9061,Sales Revenue,92257.64,income
9062,Rent Expense,85281.35,expense
9063,Service Income,77510.85,income
9064,Accounts Receivable,39334.24,asset
9065,Sales Revenue,50487.63,income
9066,Service Income,46486.74,income
9067,Accrued Expenses,25414.47,liability
9068,Accounts Payable,50552.3,liability
9069,Equipment,3146.61,asset
9070,Accounts Payable,13267.86,liability
9071,Equipment,,asset
9072,Prepaid Expense,75192.81,asset
9073,Rent Expense,42344.55,expense
9074,Inventory,51763.32,asset
9075,Interest Income,37062.89,income
9076,Cash,74103.91,asset
9077,Interest Income,78440.3,income
9078,Loan Payable,76352.19,liability
9079,Equipment,72288.91,asset
9080,Service Income,20529.98,income
9081,Accounts Payable,33863.2,liability
9082,Interest Income,47037.56,income
9083,Sales Revenue,33146.22,income
9084,Accrued Expenses,75518.53,liability
9085,,33002.42,asset
9086,Accounts Payable,13909.39,liability
9087,Accrued Expenses,39964.14,liability
9088,Marketing Expense,97993.45,expense
9089,Interest Income,22665.55,income
9090,Sales Revenue,61254.65,income
9091,Tax Payable,43354.01,liability
9092,Service Income,7195.35,income
9093,Utility Expense,48838.87,expense
9094,Interest Income,70246.22,income
9095,Accounts Receivable,51370.68,asset
9096,Salary Expense,87223.4,expense
9097,Accrued Expenses,28964.81,liability
9098,Interest Income,8716.29,income
9099,Inventory,93662.9,asset
9100,Service Income,37881.82,income
9101,Tax Payable,57682.91,liability
9102,Salary Expense,79221.11,expense
9103,Interest Income,32498.94,income
9104,Equipment,71644.84,asset
9105,Equipment,13628.34,asset
9106,Service Income,29200.25,income
9107,Loan Payable,14556.59,liability
9108,Accounts Payable,81141.93,liability
9109,Utility Expense,22342.66,expense
9110,Interest Income,71768.62,income
9111,Service Income,94335.51,income
9112,Prepaid Expense,52824.44,asset
9113,Accounts Payable,54048.92,liability
9114,Utility Expense,46157.25,expense
9115,Accrued Expenses,32656.43,liability
9116,,47617.94,asset
9117,Rent Expense,60320.47,expense
9118,Interest Income,98600.56,income
9119,Interest Income,93782.68,income
9120,Accounts Receivable,86229.08,asset
9121,Interest Income,88924.14,income
9122,Marketing Expense,46838.13,expense
9123,Accrued Expenses,65778.69,liability
9124,Salary Expense,89517.17,expense
9125,Prepaid Expense,39355.78,asset
9126,Tax Payable,96180.07,liability
9127,Tax Payable,41637.03,liability
9128,Inventory,60148.16,asset
9129,Equipment,71009.49,asset
9130,Utility Expense,95064.14,expense
9131,Cash,24537.17,asset
9132,Utility Expense,74638.48,expense
9133,Loan Payable,52129.48,liability
9134,Cash,26928.86,asset
9135,Sales Revenue,77683.02,income
9136,Marketing Expense,55267.01,expense
9137,Marketing Expense,66131.28,expense
9138,Accrued Expenses,32357.82,liability
9139,Accrued Expenses,48179.27,liability
9140,Salary Expense,61773.69,expense
9141,Salary Expense,40550.59,expense
9142,Rent Expense,19917.42,expense
9143,Interest Income,96167.89,income
9144,Equipment,51195.61,asset
9145,Service Income,73418.64,income
9146,Utility Expense,41163.61,expense
9147,Salary Expense,35577.66,expense
9148,Interest Income,40775.71,income
9149,Tax Payable,,liability
9150,Accrued Expenses,54463.59,liability
9151,Sales Revenue,54392.64,income
9152,Interest Income,49765.67,income
9153,Sales Revenue,13565.1,income
9154,Rent Expense,49657.94,expense
9155,Sales Revenue,16993.48,income
9156,Sales Revenue,12700.97,income
9157,Sales Revenue,93271.31,income
9158,Service Income,60534.51,income
9159,Equipment,65983.06,asset
9160,Sales Revenue,40239.19,income
9161,Equipment,90907.19,asset
9162,Utility Expense,63829.26,expense
9163,Inventory,76940.07,asset
9164,Accrued Expenses,36919.39,liability
9165,Accounts Payable,96005.19,liability
9166,Accrued Expenses,82064.08,liability
9167,Inventory,85409.45,asset
9168,Interest Income,17302.21,income
9169,Salary Expense,27169.22,expense
9170,Interest Income,28634.1,income
9171,Rent Expense,27163.83,expense
9172,Inventory,85555.28,asset
9173,Rent Expense,invalid,expense
9174,Tax Payable,7702.39,liability
9175,Cash,27464.1,asset
9176,,20067.31,asset
9177,Marketing Expense,23262.78,expense
9178,Accounts Payable,79814.52,liability
9179,Accounts Payable,56356.35,liability
9180,Loan Payable,676.49,liability
9181,Equipment,42989.34,asset
9182,Accounts Payable,40847.7,liability
9183,Sales Revenue,11483.13,income
9184,Accounts Receivable,67646.56,asset
9185,Service Income,70239.51,income
9186,Service Income,72117.23,income
9187,Loan Payable,72874.25,liability
9188,Accounts Receivable,105.28,asset
9189,Utility Expense,95396.69,expense
9190,Utility Expense,81439.46,expense
9191,Marketing Expense,90407.77,expense
9192,Inventory,1662.77,asset
9193,Marketing Expense,93392.49,expense
9194,Inventory,80997.87,asset
9195,Cash,83738.19,asset
9196,Sales Revenue,9419.41,income
9197,Inventory,73903.93,asset
9198,Loan Payable,95995.68,liability
9199,Accrued Expenses,67886.88,liability
9200,Accrued Expenses,57099.08,liability
9201,Tax Payable,94568.4,liability
9202,Inventory,44349.42,asset
9203,Salary Expense,59969.43,expense
9204,Rent Expense,47686.2,expense
9205,Accrued Expenses,93291.34,liability
9206,Cash,7700.86,asset
9207,Service Income,50161.86,income
9208,Sales Revenue,68726.55,income
9209,Loan Payable,79211.46,liability
9210,Cash,58343.56,asset
9211,Cash,90900.88,asset
9212,Sales Revenue,94204.95,income
9213,Loan Payable,6525.49,liability
9214,Accrued Expenses,40296.82,liability
9215,Prepaid Expense,2443.56,asset
9216,Accrued Expenses,33008.72,liability
9217,Tax Payable,53733.13,liability
9218,Marketing Expense,91088.41,expense
9219,Accounts Payable,84670.78,liability
9220,Accrued Expenses,12837.22,liability
9221,Service Income,9393.73,income
9222,Accounts Payable,58967.81,liability
9223,Interest Income,53258.59,income
9224,Interest Income,26711.13,income
9225,Marketing Expense,89955.36,expense
9226,Cash,92743.9,asset
9227,Tax Payable,40320.88,liability
9228,Utility Expense,89041.23,expense
9229,Salary Expense,38456.49,expense
9230,Utility Expense,73708.0,expense
9231,Inventory,47646.63,asset
9232,Interest Income,12346.06,income
9233,Loan Payable,92800.63,liability
9234,Marketing Expense,45464.25,expense
9235,Interest Income,73475.26,income
9236,Tax Payable,36780.66,liability
9237,Rent Expense,1986.2,expense
9238,Inventory,10142.98,asset
9239,Sales Revenue,49672.33,income
9240,Tax Payable,69027.44,liability
9241,Sales Revenue,33540.06,income
9242,Sales Revenue,69579.3,income
9243,Sales Revenue,69893.7,income
9244,Service Income,70423.2,income
9245,Accrued Expenses,49302.93,liability
9246,Inventory,91497.13,asset
9247,Marketing Expense,48970.73,expense
9248,Marketing Expense,invalid,expense
9249,Service Income,20018.14,income
9250,Marketing Expense,30834.74,expense
9251,Service Income,4329.22,income
9252,Accounts Receivable,63390.18,asset
9253,Rent Expense,24928.72,expense
9254,Prepaid Expense,30485.11,asset
9255,Sales Revenue,77104.37,income
9256,Sales Revenue,32789.4,income
9257,Accrued Expenses,24295.37,liability
9258,Interest Income,16988.87,income
9259,Accounts Payable,77508.35,liability
9260,Tax Payable,13057.66,liability
9261,Marketing Expense,45430.0,expense
9262,Utility Expense,50742.32,expense
9263,Tax Payable,68770.25,liability
9264,Accounts Receivable,63365.02,asset
9265,Accounts Receivable,81091.0,asset
9266,Rent Expense,4570.67,expense
9267,Prepaid Expense,29714.43,asset
9268,Sales Revenue,28085.4,income
9269,Cash,14687.09,asset
9270,Inventory,28988.91,asset
9271,Interest Income,invalid,income
9272,Tax Payable,52236.26,liability
9273,Inventory,66404.08,asset
9274,Loan Payable,38171.94,liability
9275,Inventory,71975.08,asset
9276,Tax Payable,33682.92,liability
9277,Sales Revenue,29099.34,income
9278,Salary Expense,54164.69,expense
9279,Accrued Expenses,2469.26,liability
9280,Inventory,8070.93,asset
9281,Interest Income,41855.16,income
9282,Accounts Payable,94296.98,liability
9283,Tax Payable,72179.03,liability
9284,Utility Expense,8903.84,expense
9285,Sales Revenue,84647.17,income
9286,Accounts Payable,73256.85,liability
9287,Salary Expense,61133.56,expense
9288,Utility Expense,82047.27,expense
9289,Interest Income,40470.57,income
9290,Accounts Payable,22227.95,liability
9291,Service Income,51251.14,income
9292,Cash,,asset
9293,Salary Expense,53878.8,expense
9294,Sales Revenue,56550.87,income
9295,Accrued Expenses,94875.62,liability
9296,Salary Expense,90234.34,expense
9297,Marketing Expense,87584.13,expense
9298,Sales Revenue,80161.54,income
9299,Loan Payable,94348.47,liability
9300,Marketing Expense,9939.61,expense
9301,Inventory,26585.81,asset
9302,Salary Expense,49556.09,expense
9303,Utility Expense,84668.8,expense
9304,Accounts Receivable,50566.05,asset
9305,Utility Expense,74828.67,expense
9306,Sales Revenue,13982.09,income
9307,Loan Payable,25316.14,liability
9308,Interest Income,73204.43,income
9309,Prepaid Expense,16556.93,asset
9310,Accrued Expenses,35200.46,liability
9311,Accrued Expenses,26560.14,liability
9312,Tax Payable,35051.18,liability
9313,Utility Expense,70861.57,expense
9314,Sales Revenue,36847.93,income
9315,Utility Expense,55570.81,expense
9316,Loan Payable,10083.19,liability
9317,Prepaid Expense,80521.27,asset
9318,Prepaid Expense,37051.87,asset
9319,Marketing Expense,64888.56,expense
9320,Salary Expense,72566.42,expense
9321,Utility Expense,21045.13,expense
9322,Loan Payable,88479.03,liability
9323,Inventory,61660.8,asset
9324,Equipment,42929.64,asset
9325,Utility Expense,18315.28,expense
9326,Service Income,94235.86,income
9327,Service Income,75531.31,income
9328,Inventory,20881.65,asset
9329,Cash,33837.31,asset
9330,Inventory,80986.46,asset
9331,Tax Payable,69598.2,liability
9332,,76601.85,income
9333,Service Income,44175.99,income
9334,Marketing Expense,invalid,expense
9335,Equipment,38710.72,asset
9336,Interest Income,21205.17,income
9337,Marketing Expense,63304.44,expense
9338,Service Income,97603.79,income
9339,Accounts Payable,,liability
9340,Prepaid Expense,46150.86,asset
9341,,67432.74,expense
9342,Sales Revenue,54196.48,income
9343,Prepaid Expense,84358.44,asset
9344,Equipment,76198.1,asset
9345,Marketing Expense,5923.89,expense
9346,Rent Expense,99842.28,expense
9347,Tax Payable,,liability
9348,Accrued Expenses,86403.94,liability
9349,Cash,65154.65,asset
9350,Utility Expense,85642.88,expense
9351,Rent Expense,11327.06,expense
9352,Utility Expense,34839.01,expense
9353,Accounts Receivable,87654.45,asset
9354,Interest Income,20245.36,income
9355,Sales Revenue,7916.39,income
9356,Service Income,78833.08,income
9357,Accounts Receivable,83565.07,asset
9358,Salary Expense,16348.96,expense
9359,Sales Revenue,85449.16,income
9360,Sales Revenue,68708.1,income
9361,Equipment,52056.26,asset
9362,Cash,83041.99,asset
9363,Equipment,41983.0,asset
9364,Utility Expense,19480.0,expense
9365,Marketing Expense,28556.78,expense
9366,,50565.89,income
9367,Service Income,53179.95,income
9368,Service Income,80577.52,income
9369,Accounts Payable,79156.14,liability
9370,Sales Revenue,58178.52,income
9371,Equipment,78100.47,asset
9372,Tax Payable,19258.17,liability
9373,Cash,5101.45,asset
9374,Tax Payable,87376.02,liability
9375,Sales Revenue,7647.89,income
9376,Accounts Receivable,24744.17,asset
9377,Cash,69562.36,asset
9378,Loan Payable,41003.85,liability
9379,Service Income,87643.77,income
9380,Loan Payable,29868.18,liability
9381,Interest Income,1285.95,income
9382,Marketing Expense,30135.5,expense
9383,Service Income,57849.7,income
9384,Inventory,37656.24,asset
9385,Equipment,53533.79,asset
9386,Sales Revenue,87672.15,income
9387,Marketing Expense,91257.26,expense
9388,Inventory,26670.81,asset
9389,Cash,46267.83,asset
9390,Accounts Payable,54959.49,liability
9391,Inventory,94916.33,asset
9392,Marketing Expense,invalid,expense
9393,Marketing Expense,23617.18,expense
9394,Accounts Receivable,invalid,asset
9395,Marketing Expense,37865.3,expense
9396,Rent Expense,910.01,expense
9397,Loan Payable,1024.33,liability
9398,Inventory,invalid,asset
9399,Interest Income,48884.66,income
9400,Cash,2354.71,asset
9401,Accounts Payable,68724.05,liability
9402,Prepaid Expense,29470.94,asset
9403,Utility Expense,56033.32,expense
9404,Loan Payable,invalid,liability
9405,Service Income,16796.72,income
9406,Interest Income,40776.66,income
9407,Accounts Receivable,23304.11,asset
9408,Salary Expense,53526.62,expense
9409,Marketing Expense,19962.97,expense
9410,Tax Payable,50889.76,liability
9411,Accrued Expenses,15822.11,liability
9412,Utility Expense,67130.37,expense
9413,Tax Payable,invalid,liability
9414,Inventory,11128.38,asset
9415,Salary Expense,46833.46,expense
9416,Accounts Payable,7180.08,liability
9417,Loan Payable,59858.43,liability
9418,Cash,26513.99,asset
9419,Rent Expense,52809.68,expense
9420,Service Income,51794.35,income
9421,Rent Expense,92443.0,expense
9422,Salary Expense,54953.41,expense
9423,Sales Revenue,58341.55,income
9424,Interest Income,40225.15,income
9425,Interest Income,94913.05,income
9426,Tax Payable,77740.87,liability
9427,Sales Revenue,28611.99,income
9428,Accounts Payable,84436.54,liability
9429,Interest Income,43296.4,income
9430,Utility Expense,82883.85,expense
9431,Accounts Payable,82306.52,liability
9432,Accounts Receivable,18968.13,asset
9433,Cash,70144.0,asset
9434,Accounts Receivable,29135.23,asset
9435,Sales Revenue,29819.52,income
9436,Prepaid Expense,29705.17,asset
9437,Interest Income,72584.27,income
9438,Cash,23059.62,asset
9439,Rent Expense,190.49,expense
9440,Utility Expense,71552.16,expense
9441,Salary Expense,17201.36,expense
9442,Sales Revenue,10537.79,income
9443,Equipment,23827.86,asset
9444,Rent Expense,invalid,expense
9445,Accounts Receivable,47643.04,asset
9446,Sales Revenue,4552.55,income
9447,Inventory,97060.28,asset
9448,Service Income,71634.7,income
9449,Rent Expense,32387.09,expense
9450,Marketing Expense,31937.86,expense
9451,Accrued Expenses,44909.4,liability
9452,Rent Expense,62661.86,expense
9453,Interest Income,14722.67,income
9454,Rent Expense,18974.09,expense
9455,Utility Expense,85957.51,expense
9456,Rent Expense,25699.87,expense
9457,Accrued Expenses,38081.48,liability
9458,Utility Expense,87140.06,expense
9459,Utility Expense,66348.47,expense
9460,Accounts Payable,34237.02,liability
9461,Inventory,68401.58,asset
9462,Prepaid Expense,2066.35,asset
9463,Salary Expense,73590.7,expense
9464,Accrued Expenses,48752.9,liability
9465,Tax Payable,81336.9,liability
9466,Marketing Expense,95468.3,expense
9467,Service Income,92586.28,income
9468,Service Income,90935.58,income
9469,,51265.78,income
9470,Salary Expense,36078.2,expense
9471,Sales Revenue,46557.03,income
9472,Sales Revenue,69020.61,income
9473,Rent Expense,88411.38,expense
9474,Tax Payable,20777.93,liability
9475,Accounts Receivable,91827.5,asset
9476,Salary Expense,81536.51,expense
9477,Equipment,97887.72,asset
9478,Marketing Expense,88037.15,expense
9479,Accounts Receivable,28065.74,asset
9480,Loan Payable,10685.0,liability
9481,Loan Payable,11312.88,liability
9482,Inventory,29193.21,asset
9483,Rent Expense,61456.95,expense
9484,Inventory,80451.6,asset
9485,Utility Expense,89935.11,expense
9486,Utility Expense,62412.96,expense
9487,Salary Expense,662.57,expense
9488,,18713.05,liability
9489,Marketing Expense,10062.65,expense
9490,Interest Income,36396.12,income
9491,Accounts Receivable,50184.96,asset
9492,Accrued Expenses,4435.38,liability
9493,Marketing Expense,34912.95,expense
9494,Prepaid Expense,18000.05,asset
9495,Salary Expense,64742.31,expense
9496,Salary Expense,46480.81,expense
9497,Service Income,49582.23,income
9498,Inventory,42826.41,asset
9499,Accounts Receivable,95606.37,asset
9500,Tax Payable,21552.04,liability
9501,Rent Expense,51714.76,expense
9502,Cash,73628.14,asset
9503,Accounts Payable,55728.76,liability
9504,Utility Expense,92909.19,expense
9505,Utility Expense,37859.04,expense
9506,Tax Payable,46421.21,liability
9507,Service Income,8943.38,income
9508,Sales Revenue,60939.01,income
9509,Tax Payable,28892.38,liability
9510,Loan Payable,16114.87,liability
9511,Service Income,54498.68,income
9512,Equipment,,asset
9513,Interest Income,7679.58,income
9514,Accounts Payable,69851.72,liability
9515,Inventory,62414.84,asset
9516,Marketing Expense,18982.83,expense
9517,Prepaid Expense,46996.54,asset
9518,Rent Expense,72060.26,expense
9519,Utility Expense,52990.63,expense
9520,Marketing Expense,39609.36,expense
9521,Accounts Receivable,32301.61,asset
9522,Rent Expense,61078.35,expense
9523,Equipment,93916.96,asset
9524,Interest Income,67207.31,income
9525,Loan Payable,7567.12,liability
9526,Salary Expense,46122.43,expense
9527,Prepaid Expense,89093.33,asset
9528,Interest Income,9536.8,income
